C;Ursa Minor;16.76615597;82
17.53691588;86.58632924;2.52974312;89.26413805
16.76615597;82.03725071;17.53691588;86.58632924
15.73429554;77.79449901;16.76615597;82.03725071
16.29180584;75.75470385;15.73429554;77.79449901
14.84510983;74.15547596;15.73429554;77.79449901
15.34548589;71.83397308;14.84510983;74.15547596
16.29180584;75.75470385;15.34548589;71.83397308
C;Ursa Major;12.9004536;55.9
13.79237392;49.31330288;13.39872773;54.92541525
13.39872773;54.92541525;12.9004536;55.95984301
12.9004536;55.95984301;12.25706919;57.03259792
12.25706919;57.03259792;11.89715035;53.69473296
12.25706919;57.03259792;11.06217691;61.75111888
11.89715035;53.69473296;11.0306641;56.38234478
11.0306641;56.38234478;11.06217691;61.75111888
C;Cassiopeia;0.9451392;60.71674966
0.15280269;59.15021814;0.67510756;56.53740928	
0.67510756;56.53740928;0.9451392;60.71674966	
0.9451392;60.71674966;1.43016751;60.23540347	
1.43016751;60.23540347;1.90657873;63.67014686	
C;Draco;17.1464514;65.71463676
11.52341346;69.33112161;12.55806736;69.78820992	
12.55806736;69.78820992;14.07317389;64.37580873	
14.07317389;64.37580873;15.41549558;58.96602354	
15.41549558;58.96602354;16.03158437;58.56443739	
16.03158437;58.56443739;17.1464514;65.71463676	
17.1464514;65.71463676;17.69897418;72.14949916	
17.69897418;72.14949916;18.35064971;72.73369763	
18.35064971;72.73369763;19.25924825;73.35521457	
19.25924825;73.35521457;19.8028371;70.26783533	
19.8028371;70.26783533;19.20920972;67.66131695	
19.20920972;67.66131695;17.8921193;56.87245216	
17.8921193;56.87245216;17.94343829;51.48895101	
17.94343829;51.48895101;17.5072158;52.30135901	
17.5072158;52.30135901;17.53622721;55.18411077	
17.53622721;55.18411077;17.8921193;56.87245216
C;Cepheus;22.06310052;64.62775425
20.49300758;62.99413722;20.75479684;61.83679404	
20.75479684;61.83679404;21.30960598;62.58545529		
21.30960598;62.58545529;21.47765973;70.56069481	
21.47765973;70.56069481;23.65582834;77.63196681	
23.65582834;77.63196681;22.82803115;66.20071089	
22.82803115;66.20071089;22.18090608;58.20124992	
22.18090608;58.20124992;21.30960598;62.58545529	
22.18090608;58.20124992;22.25046638;57.04346522	
22.25046638;57.04346522;22.48617998;58.4151899	
C;Lyra;18.7462044;37.60505025
18.33103366;36.06444696;18.61560722;38.78299311	
18.61560722;38.78299311;18.73965995;39.61259557	
18.61560722;38.78299311;18.7462044;37.60505025	
18.7462044;37.60505025;18.90841352;36.89860518	
18.90841352;36.89860518;18.98239571;32.68955312	
18.98239571;32.68955312;18.83466497;33.36267788	
18.83466497;33.36267788;18.7462044;37.60505025
C;Cygnus;19.93844337;35.08349079
19.28503052;53.36816064;19.49509425;51.72946747	
19.49509425;51.72946747;19.60737289;50.22046347	
19.60737289;50.22046347;19.74956725;45.13069195	
19.74956725;45.13069195;20.37047223;40.2566815	
